Change in OI,Close,Date,Expiry,High,Low,Open,Open Int,Strike Price,Underlying Value,index,ttm
1560.0,296.0,2016-12-26,2016-12-29,390.0,280.1,390.0,4120.0,17400.0,17655.55,27933.0,3.0
2160.0,382.35,2016-12-26,2016-12-29,440.85,379.95,435.75,2600.0,17300.0,17655.55,27934.0,3.0
320.0,480.25,2016-12-26,2016-12-29,482.9,473.6,475.65,1480.0,17200.0,17655.55,27935.0,3.0
0.0,570.7,2016-12-26,2016-12-29,591.0,570.7,591.0,120.0,17100.0,17655.55,27936.0,3.0
-1840.0,665.0,2016-12-26,2016-12-29,800.05,620.0,800.0,25840.0,17000.0,17655.55,27937.0,3.0
40.0,310.0,2016-12-26,2017-01-12,310.0,310.0,310.0,40.0,18000.0,17655.55,27963.0,17.0
-26200.0,12.5,2016-12-27,2016-12-29,16.25,2.8,5.1,405000.0,18200.0,17879.55,27964.0,2.0
76840.0,22.9,2016-12-27,2016-12-29,29.85,4.9,6.7,354000.0,18100.0,17879.55,27966.0,2.0
2000.0,6.6,2016-12-27,2016-12-29,8.5,2.05,3.3,211760.0,18300.0,17879.55,27967.0,2.0
-36080.0,3.7,2016-12-27,2016-12-29,4.7,1.7,2.4,212400.0,18400.0,17879.55,27968.0,2.0
5320.0,2.2,2016-12-27,2016-12-29,2.75,1.4,2.3,620640.0,18500.0,17879.55,27969.0,2.0
-42480.0,42.35,2016-12-27,2016-12-29,54.3,8.55,16.0,647440.0,18000.0,17879.55,27979.0,2.0
30400.0,74.2,2016-12-27,2016-12-29,92.85,16.0,24.95,312800.0,17900.0,17879.55,27982.0,2.0
-116440.0,196.3,2016-12-27,2016-12-29,230.4,65.0,92.1,138120.0,17700.0,17879.55,27984.0,2.0
40.0,714.35,2016-12-27,2016-12-29,714.35,444.95,445.9,1520.0,17200.0,17879.55,27991.0,2.0
40.0,585.55,2016-12-27,2016-12-29,607.0,345.15,395.65,2640.0,17300.0,17879.55,27992.0,2.0
-520.0,484.85,2016-12-27,2016-12-29,517.45,264.25,278.95,3600.0,17400.0,17879.55,27993.0,2.0
-24440.0,380.35,2016-12-27,2016-12-29,409.9,180.0,232.2,99440.0,17500.0,17879.55,27994.0,2.0
-32880.0,290.2,2016-12-27,2016-12-29,323.75,115.85,155.0,33760.0,17600.0,17879.55,27995.0,2.0
-34840.0,125.05,2016-12-27,2016-12-29,151.45,33.05,48.95,372080.0,17800.0,17879.55,27996.0,2.0
14960.0,331.2,2016-12-27,2017-01-25,345.05,232.3,248.7,182800.0,18000.0,17879.55,28001.0,29.0
1680.0,265.8,2016-12-27,2017-01-25,290.0,220.0,220.5,2640.0,18100.0,17879.55,28002.0,29.0
160.0,225.25,2016-12-27,2017-01-25,247.0,170.0,184.0,2840.0,18200.0,17879.55,28003.0,29.0
120.0,195.85,2016-12-27,2017-01-25,205.05,131.75,149.0,2560.0,18300.0,17879.55,28004.0,29.0
720.0,155.3,2016-12-27,2017-01-25,166.0,111.95,115.0,1520.0,18400.0,17879.55,28005.0,29.0
50000.0,132.0,2016-12-27,2017-01-25,140.0,85.25,98.75,248520.0,18500.0,17879.55,28006.0,29.0
0.0,388.65,2016-12-27,2017-01-25,399.2,300.0,305.7,1400.0,17900.0,17879.55,28014.0,29.0
800.0,462.55,2016-12-27,2017-01-25,474.95,321.0,333.0,1200.0,17800.0,17879.55,28015.0,29.0
800.0,505.5,2016-12-27,2017-01-25,510.0,361.65,361.65,800.0,17700.0,17879.55,28016.0,29.0
7840.0,642.3,2016-12-27,2017-01-25,665.7,491.0,522.4,83640.0,17500.0,17879.55,28024.0,29.0
9120.0,19.4,2016-12-27,2017-01-05,22.0,8.55,13.95,30440.0,18500.0,17879.55,28026.0,9.0
800.0,25.5,2016-12-27,2017-01-05,31.0,16.6,16.6,1080.0,18400.0,17879.55,28027.0,9.0
600.0,36.95,2016-12-27,2017-01-05,42.45,19.85,24.9,6560.0,18300.0,17879.55,28028.0,9.0
15600.0,54.1,2016-12-27,2017-01-05,76.0,29.3,30.0,21560.0,18200.0,17879.55,28029.0,9.0
4400.0,75.95,2016-12-27,2017-01-05,85.0,39.4,48.0,9000.0,18100.0,17879.55,28030.0,9.0
14000.0,107.25,2016-12-27,2017-01-05,122.85,42.1,65.6,90960.0,18000.0,17879.55,28031.0,9.0
5760.0,151.1,2016-12-27,2017-01-05,170.0,81.0,85.95,9280.0,17900.0,17879.55,28032.0,9.0
2800.0,205.2,2016-12-27,2017-01-05,229.75,116.0,143.95,6000.0,17800.0,17879.55,28033.0,9.0
4400.0,269.5,2016-12-27,2017-01-05,292.0,159.05,190.85,10120.0,17700.0,17879.55,28034.0,9.0
400.0,342.25,2016-12-27,2017-01-05,373.0,218.9,237.55,1120.0,17600.0,17879.55,28035.0,9.0
