Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
31-Aug-2017,24354.35,24354.35,24207.7,24318.4,       79848731,         2870.65
01-Sep-2017,24389.2,24494.35,24319.2,24434.0,       66906837,         1827.58
04-Sep-2017,24456.3,24459.35,24156.4,24236.85,       52531466,         1554.69
05-Sep-2017,24272.6,24388.05,24256.3,24328.3,       47757761,         1582.70
06-Sep-2017,24192.4,24331.3,24151.1,24279.15,       59006554,         1996.25
07-Sep-2017,24324.85,24413.1,24246.9,24304.9,       69696218,         2419.01
08-Sep-2017,24409.5,24419.25,24273.0,24370.8,       47085077,         1785.72
11-Sep-2017,24468.5,24735.35,24458.25,24672.25,       60804947,         2973.08
12-Sep-2017,24779.15,24821.35,24653.6,24784.7,       66927717,         2387.58
13-Sep-2017,24818.35,24948.8,24737.8,24831.8,       68334647,         2053.95
14-Sep-2017,24857.25,24994.3,24815.5,24912.25,       77726236,         2746.95
15-Sep-2017,24840.3,24916.85,24791.55,24844.3,      114568146,         3754.49
18-Sep-2017,24948.15,25105.35,24941.75,25046.9,       65913355,         2319.84
19-Sep-2017,25059.75,25103.45,24993.0,25041.55,       60118203,         1863.20
20-Sep-2017,24984.65,25052.6,24938.3,24965.05,       87376241,         2610.17
21-Sep-2017,24934.1,24992.5,24706.45,24799.25,       72279851,         2145.80
22-Sep-2017,24704.55,24709.7,24340.0,24368.85,       91287072,         2875.23
25-Sep-2017,24361.55,24363.8,24015.45,24165.05,       92662078,         3078.06
26-Sep-2017,24105.6,24236.95,24017.4,24199.15,       66244294,         2220.85
27-Sep-2017,24308.7,24331.85,23766.6,23812.95,       80405424,         2548.12
28-Sep-2017,23804.05,24074.2,23611.1,24008.15,      136679326,         5130.27
29-Sep-2017,24114.0,24227.45,24004.8,24053.0,       71703679,         2472.66
03-Oct-2017,24200.6,24226.8,24007.25,24103.4,       66828025,         2261.64
04-Oct-2017,24124.15,24230.45,24058.65,24113.3,       61740801,         2015.35
05-Oct-2017,24114.75,24188.3,24033.35,24058.05,       67125178,         2146.70
06-Oct-2017,24083.55,24242.05,24074.35,24190.0,       84205169,         2506.11
09-Oct-2017,24209.55,24311.1,24156.05,24251.9,       66557307,         1901.84
10-Oct-2017,24304.8,24379.75,24273.65,24347.45,       62757458,         1937.30
11-Oct-2017,24411.45,24460.25,24054.25,24107.45,       75494487,         2241.67
12-Oct-2017,24151.45,24393.4,23978.4,24361.25,       73274598,         2349.00
13-Oct-2017,24411.1,24779.75,24387.8,24689.15,       89300075,         2661.99
16-Oct-2017,24815.4,24878.65,24516.55,24703.05,      118314121,         3043.50
17-Oct-2017,24697.25,24809.15,24571.85,24645.6,-,-
18-Oct-2017,24354.75,24454.65,24270.05,24313.75,      161557992,         5266.25
19-Oct-2017,24238.4,24255.3,23923.7,24009.75,-,-
23-Oct-2017,24085.45,24151.0,23912.55,24088.9,       97553776,         3190.93
24-Oct-2017,24141.95,24293.25,24032.65,24222.15,      111802359,         3651.65
25-Oct-2017,24980.65,25157.8,24560.75,25035.9,      855272765,        24451.16
26-Oct-2017,24953.95,25186.05,24864.6,25022.2,      432393230,        13581.88
27-Oct-2017,24887.6,24995.7,24798.65,24839.55,      237949256,         7212.61
30-Oct-2017,24873.65,25064.85,24808.55,24988.55,      186719253,         5431.39
31-Oct-2017,25042.1,25078.65,24948.1,25019.35,      156985664,         5192.78
01-Nov-2017,25197.3,25549.35,25171.75,25490.45,      210657047,         5748.96
02-Nov-2017,25508.4,25598.75,25405.5,25427.3,      141562948,         3892.70
